symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
CDNS,2026-09-25,326.13,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,False,False,True,False,True,False,True,34.34,-20.23,347.72,6.62,-6.21,1.06,318.375,318.375,330.8375,325.5292,-21.68,False,,,,False,False,303.3009
CEG,2026-09-25,263.27,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,16.16,-29.08,305.8,16.15,-13.91,0.62,271.9379,271.9379,280.9109,290.3592,-34.83,False,,,,False,False,244.8411
CMCSA,2026-09-25,21.91,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,9.09,-33.12,27.19,24.1,-19.42,1.19,24.86,24.86,26.1141,26.8085,-32.54,False,,,,False,False,20.3763
COST,2026-09-25,922.765,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,False,False,True,False,True,36.36,-18.2,953.73,3.36,-3.25,2.3,934.4453,934.4453,970.2733,960.4145,-15.68,False,,,,False,False,858.1715
CPRT,2026-09-25,27.59,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,4.04,-37.82,34.44,24.83,-19.89,0.99,30.5014,30.5014,31.9078,33.7835,-39.71,False,,,,False,False,25.6587
CRWD,2026-09-25,252.13,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,91.92,76.48,263.87,4.66,-4.45,0.75,212.6312,212.6312,162.2246,150.1115,-3.95,False,,,,False,False,234.4809
CRWV,2026-09-25,87.59,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,True,True,False,False,True,24.24,-23.9,104.59,19.41,-16.25,0.78,85.7628,85.7628,94.0288,92.1831,-38.78,False,,,,False,False,81.4587
CSCO,2026-09-25,106.7,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,False,True,True,False,True,68.69,5.63,112.57,5.5,-5.21,0.77,112.4468,112.4468,103.3441,96.983,-17.92,False,,,,False,False,99.231
CSX,2026-09-25,46.78,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,False,True,True,False,True,60.61,-0.76,51.95,11.05,-9.95,0.73,49.8252,49.8252,46.1899,44.0539,-12.12,False,,,,False,False,43.5054
CTAS,2026-09-25,199.91,후보 아님 (트렌드 템플릿 4/8),4,False,True,False,True,True,False,False,True,False,True,54.55,-5.75,205.81,2.95,-2.87,1.14,202.2692,202.2692,186.5417,187.8421,-7.68,False,,,,False,False,185.9163
DASH,2026-09-25,193.36,후보 아님 (트렌드 템플릿 4/8),4,False,True,False,True,True,False,True,False,False,True,38.38,-17.76,238.828,23.51,-19.04,0.7,205.5913,205.5913,180.6176,187.7705,-31.37,False,,,,False,False,179.8248
DDOG,2026-09-25,268.13,돌파 · 거래량 부족,8,True,True,True,True,True,True,True,True,True,True,85.86,48.2,258.39,-3.63,3.77,1.24,242.7031,242.7031,198.6573,181.7181,-6.95,False,,,,False,False,249.3609
DXCM,2026-09-25,86.62,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,77.78,10.28,92.34,6.6,-6.19,0.39,85.1318,85.1318,73.6184,72.5715,-6.19,False,,,,False,False,80.5566
